A,B,C,D,E,letter,a,b,c,d,e,f,g,h,i,j
0,0,0,0,0,NUL,x,x,x,x,x,x,x,x,x,x
0,0,0,0,1,a,1,0,1,1,0,0,0,0,0,0
0,0,0,1,0,b,1,1,0,1,0,1,0,1,0,0
0,0,0,1,1,c,1,1,0,1,0,1,1,0,1,0
0,0,1,0,0,d,1,1,0,1,0,1,0,0,0,0
0,0,1,0,1,e,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,f,1,0,1,0,1,1,0,1,0,0
0,0,1,1,1,g,1,1,0,1,1,0,1,0,0,0
0,1,0,0,0,h,1,0,1,0,1,0,1,0,0,0
0,1,0,0,1,i,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,j,1,0,1,1,0,1,1,0,1,1
0,1,0,1,1,k,1,1,0,1,0,1,1,0,0,0
0,1,1,0,0,l,1,0,1,1,0,1,0,1,0,0
0,1,1,0,1,m,1,1,0,1,1,0,0,0,0,0
0,1,1,1,0,n,1,1,0,1,0,0,0,0,0,0
0,1,1,1,1,o,1,1,0,1,1,0,1,1,0,0
1,0,0,0,0,p,1,0,1,1,0,1,1,0,1,0
1,0,0,0,1,q,1,1,0,1,1,0,1,0,1,1
1,0,0,1,0,r,1,0,1,1,0,1,0,0,0,0
1,0,0,1,1,s,1,0,1,0,1,0,0,0,0,0
1,0,1,0,0,t,1,1,0,0,0,0,0,0,0,0
1,0,1,0,1,u,1,0,1,0,1,1,0,0,0,0
1,0,1,1,0,v,1,0,1,0,1,0,1,1,0,0
1,0,1,1,1,w,1,0,1,1,0,1,1,0,0,0
1,1,0,0,0,x,1,1,0,1,0,1,0,1,1,0
1,1,0,0,1,y,1,1,0,1,0,1,1,0,1,1
1,1,0,1,0,z,1,1,0,1,1,0,1,0,1,0
1,1,0,1,1,0,x,x,x,x,x,x,x,x,x,x
1,1,1,0,0,0,x,x,x,x,x,x,x,x,x,x
1,1,1,0,1,0,x,x,x,x,x,x,x,x,x,x
1,1,1,1,0,0,x,x,x,x,x,x,x,x,x,x
1,1,1,1,1,0,x,x,x,x,x,x,x,x,x,x